Kecamatan,Total Target,Submitted by Pencacah,Approved by Pengawas,Submitted Respondent,Edited by Admin,Rejected by Pengawas,Revoked by Pengawas,Draft,Open,Total Selesai,Belum Selesai,% Capaian
-,1,0,0,0,0,0,0,0,1,0,1,0.0
PETASIA,7306,745,239,0,0,20,2,191,6109,1006,6300,13.77
MORI ATAS,4155,286,241,0,4,66,4,50,3504,601,3554,14.46
LEMBO,5734,80,759,0,0,12,2,67,4814,853,4881,14.88
PETASIA TIMUR,7024,671,420,1,0,7,1,97,5827,1100,5924,15.66
SOYO JAYA,3122,217,279,0,0,46,2,34,2544,544,2578,17.42
MAMOSALATO,3495,492,79,0,0,52,0,0,2872,623,2872,17.83
PETASIA BARAT,2642,104,273,0,0,94,5,0,2166,476,2166,18.02
BUNGKU UTARA,5061,704,303,0,0,56,4,10,3984,1067,3994,21.08
MORI UTARA,2955,577,64,0,0,3,1,150,2160,645,2310,21.83
LEMBO RAYA,2932,214,478,0,13,23,2,85,2117,730,2202,24.9
TOTAL MOROWALI UTARA,44427,4090,3135,1,17,379,23,684,36098,7645,36782,17.21
