Kabupaten,Kecamatan,Total Target,Submitted by Pencacah,Approved by Pengawas,Submitted Respondent,Edited by Admin,Rejected by Pengawas,Draft,Open,Total Selesai,Belum Selesai,% Capaian
[01] BANGGAI KEPULAUAN,BUKO SELATAN,3034,185,156,0,0,86,67,2540,427,2607,14.07
[01] BANGGAI KEPULAUAN,BULAGI SELATAN,3851,257,209,1,0,120,80,3184,587,3264,15.24
[01] BANGGAI KEPULAUAN,TOTIKUM SELATAN,3172,280,225,1,0,17,161,2488,523,2649,16.49
[01] BANGGAI KEPULAUAN,BUKO,3678,369,201,0,0,42,111,2955,612,3066,16.64
[01] BANGGAI KEPULAUAN,TINANGKUNG,7024,606,500,25,0,66,205,5622,1197,5827,17.04
[01] BANGGAI KEPULAUAN,TOTIKUM,4236,258,372,5,0,99,111,3391,734,3502,17.33
[01] BANGGAI KEPULAUAN,BULAGI,3756,446,266,1,0,42,144,2857,755,3001,20.1
[01] BANGGAI KEPULAUAN,BULAGI UTARA,3316,168,456,2,0,61,96,2533,687,2629,20.72
[01] BANGGAI KEPULAUAN,TINANGKUNG UTARA,3178,368,290,0,0,16,71,2433,674,2504,21.21
[01] BANGGAI KEPULAUAN,LIANG,3715,554,157,2,0,108,40,2854,821,2894,22.1
[01] BANGGAI KEPULAUAN,TINANGKUNG SELATAN,2753,513,76,1,0,20,67,2076,610,2143,22.16
[01] BANGGAI KEPULAUAN,PELING TENGAH,3595,336,492,2,0,71,75,2619,901,2694,25.06
[02] BANGGAI,LUWUK TIMUR,0,0,0,0,0,0,0,0,0,0,0.0
[02] BANGGAI,BATUI,6317,750,61,0,0,26,99,5381,837,5480,13.25
[02] BANGGAI,LUWUK SELATAN,12189,1240,372,1,0,32,325,10219,1645,10544,13.5
[02] BANGGAI,BUNTA,7298,944,29,0,0,19,414,5892,992,6306,13.59
[02] BANGGAI,BATUI SELATAN,5199,644,62,0,0,9,56,4428,715,4484,13.75
[02] BANGGAI,PAGIMANA,8548,1155,74,0,0,31,220,7068,1260,7288,14.74
[02] BANGGAI,LOBU,1451,211,5,0,0,10,0,1225,226,1225,15.58
[02] BANGGAI,MOILONG,7613,493,575,0,0,133,281,6131,1201,6412,15.78
[02] BANGGAI,MASAMA,4754,598,203,0,0,19,183,3751,820,3934,17.25
[02] BANGGAI,LUWUK,16780,2847,124,2,0,16,492,13299,2989,13791,17.81
[02] BANGGAI,NUHON,6753,1136,90,0,0,6,141,5380,1232,5521,18.24
[02] BANGGAI,LUWUK UTARA,8585,965,491,0,0,130,193,6806,1586,6999,18.47
[02] BANGGAI,BALANTAK SELATAN,2007,374,18,0,0,3,114,1498,395,1612,19.68
[02] BANGGAI,TOILI JAYA,5620,616,492,0,0,35,138,4339,1143,4477,20.34
[02] BANGGAI,TOILI BARAT,8939,1016,810,0,0,42,306,6765,1868,7071,20.9
[02] BANGGAI,TOILI,8404,1159,621,1,0,108,165,6350,1889,6515,22.48
[02] BANGGAI,KINTOM,4080,651,221,0,0,84,236,2888,956,3124,23.43
[02] BANGGAI,LAMALA,2338,501,68,0,0,2,6,1761,571,1767,24.42
[02] BANGGAI,SIMPANG RAYA,5640,1336,17,0,0,25,117,4145,1378,4262,24.43
[02] BANGGAI,BUALEMO,6486,1207,203,0,0,205,179,4692,1615,4871,24.9
[02] BANGGAI,NAMBO,4038,923,107,0,0,5,22,2981,1035,3003,25.63
[02] BANGGAI,BALANTAK UTARA,1707,347,100,0,0,5,0,1255,452,1255,26.48
[02] BANGGAI,MANTOH,2456,681,9,0,0,5,26,1735,695,1761,28.3
[02] BANGGAI,BALANTAK,2510,609,245,0,0,69,0,1587,923,1587,36.77
[03] MOROWALI,BUNGKU PESISIR,2057,199,0,0,0,3,0,1855,202,1855,9.82
[03] MOROWALI,BAHODOPI,11719,934,385,0,0,151,446,9803,1470,10249,12.54
[03] MOROWALI,WITA PONDA,6218,227,546,0,0,29,160,5256,802,5416,12.9
[03] MOROWALI,BUNGKU BARAT,4793,374,238,0,0,22,134,4025,634,4159,13.23
[03] MOROWALI,BUMI RAYA,4536,275,318,0,0,25,162,3756,618,3918,13.62
[03] MOROWALI,BUNGKU TENGAH,10337,1269,119,0,0,28,318,8603,1416,8921,13.7
[03] MOROWALI,BUNGKU TIMUR,4474,409,198,0,0,13,250,3604,620,3854,13.86
[03] MOROWALI,MENUI KEPULAUAN,2255,355,0,0,0,0,15,1885,355,1900,15.74
[03] MOROWALI,SOMBORI KEPULAUAN,1081,176,0,0,0,0,28,877,176,905,16.28
[03] MOROWALI,BUNGKU SELATAN,3309,111,355,0,0,105,52,2686,571,2738,17.26
[04] POSO,POSO PESISIR SELATAN,4193,56,596,0,0,21,15,3505,673,3520,16.05
[04] POSO,LORE TENGAH,1966,148,155,1,0,14,0,1648,318,1648,16.17
[04] POSO,PAMONA SELATAN,9308,588,484,1,0,441,452,7342,1514,7794,16.27
