tanggal,kabupaten,total_aktivitas,total_submitted,total_approved,total_rejected,total_usaha_tambahan
2026-05-18,POSO,53,0,0,0,53
2026-05-19,BANGGAI KEPULAUAN,21,2,0,0,21
2026-05-19,POSO,2,0,0,0,2
2026-05-20,BANGGAI KEPULAUAN,53,4,0,0,53
2026-05-20,BANGGAI LAUT,6,6,0,0,0
2026-05-20,POSO,18,6,0,0,18
2026-05-21,BANGGAI KEPULAUAN,40,0,0,0,40
2026-05-21,BANGGAI LAUT,7,6,0,0,1
2026-05-21,BUOL,29,3,0,0,27
2026-05-22,BANGGAI KEPULAUAN,1,1,0,0,1
2026-05-22,BANGGAI LAUT,4,3,0,0,1
2026-05-22,BUOL,27,4,0,0,12
2026-05-22,POSO,15,5,0,0,15
2026-05-23,BANGGAI LAUT,1,1,0,0,0
2026-05-23,BUOL,2,1,0,0,0
2026-05-23,POSO,15,2,0,0,2
2026-05-24,POSO,1,1,0,0,0
2026-05-25,BANGGAI KEPULAUAN,5,2,0,0,5
2026-05-25,BANGGAI LAUT,5,5,0,0,0
2026-05-25,BUOL,32,4,0,0,1
2026-05-25,POSO,2,0,0,0,1
2026-05-26,BANGGAI KEPULAUAN,9,2,0,0,1
2026-05-26,BUOL,26,6,0,0,1
2026-05-26,PALU,15,8,0,0,7
2026-05-26,POSO,12,1,0,0,5
2026-05-27,BUOL,2,2,0,0,0
2026-05-27,POSO,3,2,0,0,0
2026-05-28,BUOL,5,3,0,0,0
2026-05-28,PALU,2,0,0,0,1
2026-05-29,BUOL,5,5,0,0,1
2026-05-29,PALU,9,4,0,0,0
2026-05-29,POSO,2,2,0,0,0
2026-05-30,BUOL,8,8,0,0,0
2026-05-31,BUOL,4,2,0,0,0
2026-06-01,BUOL,1,1,0,0,0
2026-06-02,BANGGAI KEPULAUAN,8,2,0,0,2
2026-06-02,BUOL,3,2,0,0,0
2026-06-02,PALU,1,1,0,0,0
2026-06-02,POSO,1,1,0,0,0
2026-06-03,BANGGAI KEPULAUAN,4,1,0,0,0
2026-06-03,BUOL,2,1,0,0,0
2026-06-03,POSO,1,1,0,0,0
2026-06-04,BANGGAI KEPULAUAN,14,3,0,0,0
2026-06-04,BUOL,1,1,0,0,0
2026-06-04,PALU,2,0,0,0,2
2026-06-04,POSO,5,3,0,0,0
2026-06-05,BANGGAI KEPULAUAN,7,4,0,0,0
2026-06-05,BUOL,1,1,0,0,0
2026-06-05,PARIGI MOUTONG,1,1,0,0,1
2026-06-05,TOJO UNA-UNA,1,1,0,0,0
2026-06-06,BANGGAI KEPULAUAN,1,0,0,0,0
2026-06-06,PALU,1,1,0,0,0
2026-06-06,TOJO UNA-UNA,1,1,0,0,0
2026-06-07,BANGGAI KEPULAUAN,2,0,0,0,0
2026-06-08,BANGGAI KEPULAUAN,8,2,0,0,0
2026-06-08,BUOL,69,0,0,0,0
2026-06-08,PALU,16,3,0,0,0
2026-06-08,POSO,10,0,0,0,0
2026-06-09,BANGGAI,50123,0,0,0,76
2026-06-09,BANGGAI KEPULAUAN,26,7,0,0,1
2026-06-09,DONGGALA,45267,0,0,0,7
2026-06-09,PALU,95293,0,0,0,7
2026-06-09,PARIGI MOUTONG,92968,0,0,0,2183
2026-06-09,POSO,3085,1,0,0,19
2026-06-09,SIGI,27450,0,0,0,497
2026-06-09,TOJO UNA-UNA,1,1,0,0,0
2026-06-10,BANGGAI,11075,0,0,0,17
2026-06-10,BANGGAI KEPULAUAN,37,6,0,0,0
2026-06-10,BANGGAI LAUT,12468,0,0,0,259
2026-06-10,BUOL,33227,0,0,0,1475
2026-06-10,DONGGALA,1,0,0,0,0
2026-06-10,MOROWALI,26221,0,0,0,109
2026-06-10,MOROWALI UTARA,14737,0,0,0,301
2026-06-10,PALU,1,0,0,0,0
