Wilayah,OPEN,SUBMITTED BY Pencacah,APPROVED BY Pengawas,DRAFT,REJECTED BY Pengawas,REVOKED BY Pengawas,EDITED BY Admin Kabupaten,EDITED BY Pengawas,SUBMITTED RESPONDENT,COMPLETED BY Admin Kabupaten,REJECTED BY Admin Kabupaten
7208,122069,32525,21211,2520,2278,100,18,15,5,2,
7271,139502,14769,15479,8985,1175,36,581,10,25,166,
7202,101231,34839,9251,4392,1942,42,9,4,4,,1
7205,79953,7700,24326,2336,620,38,62,2,5,,21
7210,76857,16724,15757,2013,1387,82,,6,8,2,4
7204,75887,18835,12155,2891,1583,97,59,5,47,,16
7206,58029,10875,12221,2335,708,79,117,3,,,
7209,41634,8471,9592,1198,1931,42,,4,4,,
7207,41915,10244,5489,2621,1299,33,15,2,46,,3
7203,40838,7377,4209,2109,301,23,5,1,,,1
7201,31096,7596,6634,1530,842,45,7,1,95,,1
7212,33796,4840,4977,841,630,22,18,,1,,
7211,19060,1325,8843,284,143,7,,1,24,,
