Kabupaten,Kecamatan,Total Prelist,Total Draft,Total Open,Total Submitted,Total Rejected,Total Approved,Submitted Pencacah,Submitted Respondent,Persentase,Today Completed,Yesterday Completed,New Usaha,New Rumah
[01] BANGGAI KEPULAUAN,[030] TOTIKUM,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[01] BANGGAI KEPULAUAN,[031] TOTIKUM SELATAN,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[01] BANGGAI KEPULAUAN,[040] TINANGKUNG,5,0,0,5,0,0,0,5,100.0,0,0,0,0
[01] BANGGAI KEPULAUAN,[041] TINANGKUNG SELATAN,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[01] BANGGAI KEPULAUAN,[042] TINANGKUNG UTARA,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[01] BANGGAI KEPULAUAN,[050] LIANG,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[01] BANGGAI KEPULAUAN,[051] PELING TENGAH,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[01] BANGGAI KEPULAUAN,[060] BULAGI,1,0,0,1,0,0,0,1,100.0,0,0,0,0
[01] BANGGAI KEPULAUAN,[061] BULAGI SELATAN,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[01] BANGGAI KEPULAUAN,[062] BULAGI UTARA,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[01] BANGGAI KEPULAUAN,[070] BUKO,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[01] BANGGAI KEPULAUAN,[071] BUKO SELATAN,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[02] BANGGAI,[010] TOILI,7,7,0,0,0,0,0,0,0.0,0,0,0,0
[02] BANGGAI,[011] TOILI BARAT,7,4,0,3,0,0,3,0,42.86,0,0,0,0
[02] BANGGAI,[012] MOILONG,6,6,0,0,0,0,0,0,0.0,0,0,0,0
[02] BANGGAI,[013] TOILI JAYA,4,1,0,3,0,0,3,0,75.0,0,0,0,0
[02] BANGGAI,[020] BATUI,9,4,2,3,0,0,3,0,33.33,0,0,0,0
[02] BANGGAI,[021] BATUI SELATAN,3,1,1,1,0,0,1,0,33.33,0,0,0,0
[02] BANGGAI,[030] BUNTA,6,2,1,3,0,0,3,0,50.0,0,0,0,0
[02] BANGGAI,[031] NUHON,6,0,6,0,0,0,0,0,0.0,0,0,0,0
[02] BANGGAI,[032] SIMPANG RAYA,1,0,0,1,0,0,1,0,100.0,0,0,0,0
[02] BANGGAI,[040] KINTOM,1,0,1,0,0,0,0,0,0.0,0,0,0,0
[02] BANGGAI,[050] LUWUK,53,10,10,33,2,0,31,0,62.26,0,0,0,0
[02] BANGGAI,[051] LUWUK TIMUR,4,1,2,1,0,0,1,0,25.0,0,0,0,0
[02] BANGGAI,[052] LUWUK UTARA,8,1,4,3,0,0,2,1,37.5,0,0,0,0
[02] BANGGAI,[053] LUWUK SELATAN,31,6,14,11,0,0,11,0,35.48,0,0,0,0
[02] BANGGAI,[054] NAMBO,3,0,0,3,0,0,2,1,100.0,0,0,0,0
[02] BANGGAI,[060] PAGIMANA,8,5,1,2,1,0,1,0,25.0,0,0,0,0
[02] BANGGAI,[061] BUALEMO,5,0,5,0,0,0,0,0,0.0,0,0,0,0
[02] BANGGAI,[062] LOBU,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[02] BANGGAI,[070] LAMALA,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[02] BANGGAI,[071] MASAMA,3,2,0,1,0,0,1,0,33.33,0,0,0,0
[02] BANGGAI,[072] MANTOH,1,1,0,0,0,0,0,0,0.0,0,0,0,0
[02] BANGGAI,[080] BALANTAK,3,0,3,0,0,0,0,0,0.0,0,0,0,0
[02] BANGGAI,[081] BALANTAK SELATAN,1,0,1,0,0,0,0,0,0.0,0,0,0,0
[02] BANGGAI,[082] BALANTAK UTARA,2,1,0,1,0,0,1,0,50.0,0,0,0,0
[03] MOROWALI,[000] -,9,0,7,2,0,0,0,2,22.22,0,0,0,0
[03] MOROWALI,[010] MENUI KEPULAUAN,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[03] MOROWALI,[011] SOMBORI KEPULAUAN,2,0,2,0,0,0,0,0,0.0,0,0,0,0
[03] MOROWALI,[020] BUNGKU SELATAN,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[03] MOROWALI,[021] BAHODOPI,97,25,53,19,0,0,15,4,19.59,0,0,0,0
[03] MOROWALI,[022] BUNGKU PESISIR,14,0,14,0,0,0,0,0,0.0,0,0,0,0
[03] MOROWALI,[030] BUNGKU TENGAH,28,8,8,12,0,0,11,1,42.86,0,0,0,0
[03] MOROWALI,[031] BUNGKU TIMUR,8,1,7,0,0,0,0,0,0.0,0,0,0,0
[03] MOROWALI,[040] BUNGKU BARAT,15,0,15,0,0,0,0,0,0.0,0,0,0,0
[03] MOROWALI,[041] BUMI RAYA,1,0,0,1,0,0,1,0,100.0,0,0,0,0
[03] MOROWALI,[042] WITA PONDA,5,2,2,1,0,0,1,0,20.0,0,0,0,0
[04] POSO,[010] PAMONA SELATAN,8,0,8,0,0,0,0,0,0.0,0,0,0,0
[04] POSO,[011] PAMONA BARAT,1,0,0,1,0,0,0,1,100.0,0,0,0,0
[04] POSO,[012] PAMONA TENGGARA,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[04] POSO,[020] LORE SELATAN,2,1,0,1,0,1,0,0,50.0,0,0,0,0
[04] POSO,[021] LORE BARAT,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[04] POSO,[030] PAMONA PUSALEMBA,17,7,3,7,0,0,7,0,41.18,0,0,0,0
[04] POSO,[031] PAMONA TIMUR,2,0,2,0,0,0,0,0,0.0,0,0,0,0
[04] POSO,[032] PAMONA UTARA,3,1,1,1,0,0,1,0,33.33,0,0,0,0
[04] POSO,[040] LORE UTARA,1,0,0,1,0,1,0,0,100.0,0,0,0,0
[04] POSO,[041] LORE TENGAH,0,0,0,0,0,0,0,0,0.0,0,0,0,0
[04] POSO,[042] LORE TIMUR,0,0,0,0,0,0,0,0,0.0,0,0,0,0
