Kabupaten,Kecamatan,Total Prelist,Total Draft,Total Open,Total Submitted,Total Rejected,Total Approved,Submitted Pencacah,Submitted Respondent,Persentase,Today Completed,Yesterday Completed,New Usaha,New Rumah
[01] BANGGAI KEPULAUAN,[000] -,270,122,96,52,0,0,0,52,19.26,0,0,129,0
[01] BANGGAI KEPULAUAN,[030] TOTIKUM,4735,256,1753,2726,79,1851,792,4,57.57,0,0,341,157
[01] BANGGAI KEPULAUAN,[031] TOTIKUM SELATAN,3537,291,1282,1964,267,1149,547,1,55.53,0,0,200,113
[01] BANGGAI KEPULAUAN,[040] TINANGKUNG,8575,394,2925,5256,111,3153,1968,24,61.29,0,0,1027,474
[01] BANGGAI KEPULAUAN,[041] TINANGKUNG SELATAN,3139,286,1070,1783,195,767,820,1,56.8,0,0,249,119
[01] BANGGAI KEPULAUAN,[042] TINANGKUNG UTARA,3602,117,1160,2325,82,1325,918,0,64.55,0,0,221,101
[01] BANGGAI KEPULAUAN,[050] LIANG,4173,32,1517,2624,232,1597,794,1,62.88,0,0,318,225
[01] BANGGAI KEPULAUAN,[051] PELING TENGAH,4006,40,1076,2890,94,1954,840,2,72.14,0,0,237,229
[01] BANGGAI KEPULAUAN,[060] BULAGI,4240,186,1045,3009,42,1795,1171,1,70.97,0,0,288,314
[01] BANGGAI KEPULAUAN,[061] BULAGI SELATAN,4151,168,1780,2203,46,1697,459,1,53.07,0,0,312,117
[01] BANGGAI KEPULAUAN,[062] BULAGI UTARA,3645,124,1342,2179,38,1835,304,2,59.78,0,0,217,105
[01] BANGGAI KEPULAUAN,[070] BUKO,4189,218,1484,2487,120,1184,1182,1,59.37,0,0,295,158
[01] BANGGAI KEPULAUAN,[071] BUKO SELATAN,3460,141,1361,1958,52,1594,312,0,56.59,0,0,254,147
[02] BANGGAI,[000] -,1,0,1,0,0,0,0,0,0.0,0,0,0,0
[02] BANGGAI,[010] TOILI,9091,228,3838,5025,229,3661,1134,1,55.27,0,0,261,221
[02] BANGGAI,[011] TOILI BARAT,9902,468,3389,6045,89,4270,1686,0,61.05,0,0,564,208
[02] BANGGAI,[012] MOILONG,8224,394,3311,4519,74,2927,1518,0,54.95,0,0,261,196
[02] BANGGAI,[013] TOILI JAYA,6480,140,2567,3773,92,2798,883,0,58.23,0,0,369,132
[02] BANGGAI,[020] BATUI,7099,418,3101,3580,46,2915,619,0,50.43,0,0,319,120
[02] BANGGAI,[021] BATUI SELATAN,5887,72,2340,3475,266,1454,1755,0,59.03,0,0,220,127
[02] BANGGAI,[030] BUNTA,8285,567,3424,4294,556,988,2750,0,51.83,0,0,406,172
[02] BANGGAI,[031] NUHON,7564,212,2824,4528,183,653,3692,0,59.86,0,0,166,313
[02] BANGGAI,[032] SIMPANG RAYA,6571,219,1782,4570,27,1737,2806,0,69.55,0,0,322,164
[02] BANGGAI,[040] KINTOM,4811,189,1385,3237,119,1632,1486,0,67.28,0,0,215,178
[02] BANGGAI,[050] LUWUK,18871,812,8323,9736,687,3326,5721,2,51.59,0,0,863,819
[02] BANGGAI,[051] LUWUK TIMUR,5292,87,2484,2721,358,1770,593,0,51.42,0,0,260,155
[02] BANGGAI,[052] LUWUK UTARA,9842,275,4113,5454,453,2614,2387,0,55.42,0,0,543,292
[02] BANGGAI,[053] LUWUK SELATAN,14205,767,6681,6757,135,3043,3578,1,47.57,0,0,667,656
[02] BANGGAI,[054] NAMBO,4747,38,1500,3209,247,1108,1854,0,67.6,0,0,188,66
[02] BANGGAI,[060] PAGIMANA,9632,252,4319,5061,235,1590,3236,0,52.54,0,0,363,143
[02] BANGGAI,[061] BUALEMO,7314,229,2401,4684,432,4086,166,0,64.04,0,0,428,282
[02] BANGGAI,[062] LOBU,1619,0,724,895,27,205,663,0,55.28,0,0,45,15
[02] BANGGAI,[070] LAMALA,2620,35,1149,1436,28,918,490,0,54.81,0,0,133,67
[02] BANGGAI,[071] MASAMA,5333,281,2229,2823,423,1222,1178,0,52.93,0,0,210,117
