kabkot,DTSEN,UMK,UMKM,NONBKU,DUMMY,Total
7201,36521,5050,410,1470,84,43535
7202,101622,35736,0,0,127,137485
7204,75963,28888,0,0,183,105034
7205,80702,23539,0,0,28,104269
7206,65848,6733,861,2270,87,75799
7207,45120,9225,655,1938,176,57114
7208,136627,26312,1778,3528,13,168258
7209,47463,8490,720,1037,118,57828
7210,87124,14737,1164,1675,164,104864
7211,21644,4746,431,631,33,27485
7212,31724,8240,321,840,63,41188
7271,113637,48870,0,0,9,162516
TOTAL SULTENG,843995,220566,6340,13389,1085,1085375
